jobNumber,jobName,sales,location,region,description,priority,currentStatus,jobNotes,readyForInstall,orderDate,mfgTarget,mfgTargetModified,installTarget,scheduledInstall,dateInstalled,dateToAdmin,vendor,poNumber,vendorStatus,mfgRegion,installRegion,ulSign,value,totalHrsMfg,totalHrsInstall,dip,vinylDueDate,sketchFile,process,isActive,dept_graphics,dept_routingType,dept_metal,dept_assembly,dept_plexApplication,dept_vinyl
J37085,Genesh Inc./Burger King,NH,Liberal,WK,pole sign 1/2 out Customer reports lamps 1/2 out in the pylon ID sign. Check and repair as needed.,,Service Complete to Admin,05.12.26 relamped cabinet. Missing filler panel. DK 05.20.26 Installed filler panel DK,Survey needed,2026-04-01,2026-05-20,,2026-05-26,,2026-05-20,2026-05-28,,,,WK,WK,False,,0.0,0.0,68.0,,,Service Complete,False,,,,,,
J37205,TRUCK CENTER COMPANIES,NH,Liberal,WK,straps broke Straps broke & dangling. Replace as needed. Make sure the rest of the structure is secure.,,Service Complete to Admin,04.15.26 - Replaced strap with a new one. - TD,Survey needed,2026-04-09,2026-05-28,,2026-06-03,,,2026-04-15,,,,WK,WK,False,,0.0,0.0,60.0,,,Service Complete,False,,,,,,
J36689,Dudley's Irish Pub,TC,Wichita,WK,"Service Neon Outage - Dudley's Contact: Beth Moses - (316) 617-2233 SERVICE: Customer reports ""Dudley's"" and Top Left & Bottom Right sections of Green circle on their neon sign is out. While on site, ensure all other neon is working as expected. Diagnose and repair as needed. See photo attached to job card. Sign was previously serviced 06/28/24 on J25332, 05/06/25 on J30885, and 10/10/25 on J33860.",,Service Complete to Admin,STR 4/20 05.07.26 customer went with another sign company.,Survey needed,,,,,,2026-05-07,2026-05-07,,,,WK,WK,False,,0.0,0.0,,,04152026 Outage - Dudley's.jpeg,Service Complete,False,,,,,,
J37440,CITIZENS BANK OF KANSAS,DW,Augusta,WK,Watchfire display is dark. Need technician at site to trouble shoot sign.,,Service Complete to Admin,06.02.26 replaced bad controller. Both WF and customer show EMC is online. WF was able to update messges HA 06.03.26 part ready for return. HA,Survey needed,2026-04-24,2026-06-12,,2026-06-18,,2026-06-02,2026-06-03,,,,WK,WK,False,,0.0,0.0,45.0,,,Service Complete,False,,,,,,
J37646,LONGHORN STEAKHOUSE,DP,Salina,WK,Customer reports damage to LED strips on South and West Elevations. Visit and repair as needed. Check other elevations for damage and issues when on site. Bundle with other service calls to reduce travel cost per customer request. Contact Sara Grimes at 913-709-2861 when on site. Please take and share completion photos.,,Service Complete to Admin,Cancel As per DP,Survey needed,2026-05-08,2026-06-26,,2026-07-02,,2026-05-28,2026-05-28,,,,WK,WK,False,,0.0,0.0,31.0,,,Service Complete,False,,,,,,
J37797,"PING PING AN AN, INC",DP,McPherson,WK,"Customer reports sign face blew off and is not damaged. Visit and reinstall. Group with other service, if possible, to reduce travel cost.",,Service Complete to Admin,"06.04.26 Located studs after exploratory drilling. Re-drilled panel to coincide with stud layout. The ends fell between studs in cavity, so applied silicone behind panel on 2 ends then seated screws to hold firm while silicone sets. Re-used existing pre-painted screws where I could. JS",,2026-05-18,2026-07-06,,2026-07-12,,2026-06-04,2026-06-08,,,,WK,WK,False,,0.0,0.0,21.0,,,Service,True,,,,,,
J37902,VILLAGE SQUARE MALL,NH,Dodge City,WK,change out flags,,Service Complete to Admin,05.28.26 replaced flags,Survey needed,2026-05-26,2026-07-14,,2026-07-20,,2026-05-28,2026-06-03,,,,WK,WK,False,,0.0,0.0,13.0,,,Service Complete,False,,,,,,
J28517,/ MORTON BUILDINGS,DW,"Atkinson, IL",WK,"Atkinson, IL NC Survey Survey Site.",,Complete-need paperwork,,Survey needed,2024-12-09,2025-01-27,,2025-02-02,,,,,,,Sub,Sub-Installer,False,,0.0,0.0,546.0,,,Complete Need Paperwork,False,,,,,,
J32139,WESLEY MEDICAL CENTER,DW,Wichita,WK,Central & Hiillside Watchfire Service West Face West facing Watchfire display has outage.,,Complete-need paperwork,,Survey needed,2025-06-30,2025-08-18,,2025-08-24,,,,,,,WK,WK,False,,0.0,0.0,343.0,,West Facing (2).jpg,Service Complete,False,,,,,,
J32166,MORTON BUILDINGS,DW,"Conyers, GA",WK,"Griffin GA Debrand Flip faces in existing monument sign. Sign Solutions of East Atlanta V#19193 1422 Business Center Drive SW | Conyers, GA 30094 770-648-7057 | www.signsolutionsllc.com HOURS: Monday - Friday 8am - 4pm Contact: Emily Black",,Complete-need paperwork,,Survey needed,2025-07-18,2025-09-05,,2025-09-11,,,,,,,WK,WK,False,297.5,0.0,0.0,325.0,,,Complete Need Paperwork,False,,,,,,
J32605,COMMERCE BANK,DW,Wichita,WK,Twin Lakes ATM Survey Survey ATM damage.,,Complete-need paperwork,,Survey needed,2025-07-28,2025-09-15,,2025-09-21,,,,,,,WK,WK,False,,0.0,0.0,315.0,,,Service Complete,False,,,,,,
J32865,EQUITY BANK,DW,"Kirksville, MO",WK,Kirksville Wraps & Toppers Install (2) ITM wraps and toppers from bulk inventory. Install will be done at Wichita warehouse staging area.,,Complete-need paperwork,March/April Install,Survey needed,2025-11-17,2026-01-05,,2026-01-11,,,,,,,WK,WK,False,1482.5,,0.0,203.0,,J32865 Equity Bank_ITM Displays.pdf,Complete Need Paperwork,False,,,,,,done
J36662,Iron Insurance Partners,DP,"Scott City, KS",WK,"Front window vinyl + removal Remove the Rodenbeek & Green logo, Progressive and Trusted Choice logos from the front windows while on site. Furnish and install (1) Iron Insurance logo on first window on the front elevation.",,Complete-need paperwork,DC Installation,Survey needed,2026-03-13,2026-05-01,,2026-05-07,,,,,,,WK,WK,False,599.99,,0.0,87.0,,J36662 Iron Inurance Partners_Front window vinyl_removall.pdf,Complete Need Paperwork,False,,,,,,done
J36767,EQUITY BANK,DW,Topeka,NEK,Topeka 8th St ITM Wrap Repair Repair ITM wrap with wrap from bulk inventory.,,Complete-need paperwork,,Survey needed,2026-03-18,2026-05-06,,2026-05-12,,,,,,,NEK,NEK,False,857.0,,0.0,82.0,,"20260311_083245 1.jpg, 20260311_083229.jpg, 20260311_083721.jpg",Complete Need Paperwork,False,,,,,,done
J36998,HUTCHINSON COMMUNITY COLLEGE,AS,Hutchinson,WK,T/M- 1 bench plate T/M: Furnish and apply clear print to customer provided bench plate for customer to install. Andy will deliver to customer when done,,Complete-need paperwork,Andy to deliver,Survey needed,2026-03-31,2026-05-19,,2026-05-25,,,,GREGORY,19913,RECEIVED,WK,WK,False,,,0.0,69.0,,J36033 HCC- bench plaques (1).pdf,Complete Need Paperwork,False,,,,,done,
J37325,ICON Structures,DP,Salina,WK,"KSUS Sample letter TM - Furnish sample for GC: (1) 14"" tall Internally illuminated channel letter (E) 4"" Deep returns - painted PMS 268 KSU standard purple 3/16"" White plex faces with trim cap and returns painted to match PMS 268 Purple Digitally printed vinyl overlay - PMS 268 KSU standard purple - White LEDs *David to deliver to GC for final approval of dimensional letter",,Complete-need paperwork,,Survey needed,2026-04-20,2026-06-08,,2026-06-14,,,,SIGN HOUSE,20050,Ready to Pick Up,WK,WK,False,,0.0,0.0,49.0,,document - 2026-04-20T161608.431.pdf,Complete Need Paperwork,False,,,,,,
J33816,Bel Air Motel,NH,Dodge City,WK,"CC letters Furnish (16) 6"" changeable copy letters (panel size = 6 7/8""h x 4 1/2""w). Customer to pick up at Lumineo-DC shop. Breakdown; (4) E's, (2) K's, (2) Y's, (2) T's, (2) $, (2) 2's, (2) 5's.",,Complete-need paperwork,shipping to Dodge,Survey needed,2026-04-29,2026-06-17,,2026-06-23,,,,JDS Industries,20119,RECEIVED,WK,WK,False,97.51,0.0,0.0,40.0,,,Complete Need Paperwork,False,,,,,,
J37208,"CIMA NETWORK, INC. (FIVE BELOW)",AS,Hutchinson,WK,Trip 1 – Coming Soon/Survey -Meet with site contact to verify access for installation of signs and survey for panel fabrication -Install Coming Soon banner on temporary construction fence,,Complete-need paperwork,,Survey needed,2026-05-08,2026-06-26,,2026-07-02,,,,,,,WK,WK,False,900.75,0.0,0.0,31.0,,,In Process,True,,,,,,
J37647,WIENS & COMPANY,AS,Hutchinson,WK,Furnish and sales delivery to customer (1) 2'x2' sample of 3m IJ180cv3 material printed to show color range in the graphic for mural.,,Complete-need paperwork,,Survey needed,2026-05-08,2026-06-26,,2026-07-02,,,,GREGORY,20231,RECEIVED,WK,WK,False,75.0,0.0,0.0,31.0,,,Complete Need Paperwork,False,,,,,,
J37472,Farm Bureau Financial -Kelley Linn,NH,Sublette,WK,"Per new 36-mo contract, furnish & install (1) 10'x24' vinyl wrap. Install on the existing roadsign structure. Dispose of the old Outlaw Irrigation wrap (top-north face). Re-use existing rod & straps.",,Complete-need paperwork,shipping to Dodge,Survey needed,2026-05-13,2026-07-01,,2026-07-07,,,,INDEPENDENT'S,20233,SHIPPING,WK,WK,False,,0.0,0.0,26.0,,document - 2026-05-14T045138.064.pdf,In Process,True,,,,,,
J37796,COHLMIA MARKETING,DW,Wichita,WK,"Furnish and install 1st surface vinyl graphics for two Dr Names reading Thomas R. Resch, MD & Andrew C. DeClerk, MD. Vinyl to match PMS 262.",Rush,Complete-need paperwork,Kevin to install,,2026-05-21,2026-07-09,,2026-07-15,,,,X-PRESS,20252,ORDERED,WK,WK,False,364.2,0.0,0.0,18.0,,J37796 Wichita Surgical Specialists_Interior Sign (1).pdf,Complete Need Paperwork,False,,,,,,
J37862,Leiker Smiles Dental,DP,Hays,WK,Create base pole mount,,Complete-need paperwork,,Survey needed,2026-05-22,2026-07-10,,2026-07-16,,,,,,,WK,WK,False,,0.0,0.0,17.0,,,Complete Need Paperwork,False,,,,,,
J31666,Sterling Pharmacy Inc.,AS,Sterling,WK,"New single sided cabinet Remove and dispose existing single sided cabinet. Furnish and install (1) 5' H x 6' W x 6"" D single sided internally illuminated cabinet. Cabinet to be painted Navy Blue to match logo element. Face to be flat white plex with graphics applied to the face. Customer wants us to put a photo cell on cabinet.",,Installation,,Survey needed,2025-07-22,2025-09-09,2025-10-31,2025-09-15,,,,GREGORY,18271,RECEIVED,WK,WK,False,5126.31,,0.0,321.0,2025-10-16,J31666 STERLING PHARMACY INC_WALL SIGN.pdf,In Process,True,Outsourced,,done,done,done,
J30283,HUTTON CORPORATION - Finney Co. Health & EMS,"TN,DD",Garden City,WK,"FINNEY COUNTY HEALTH & EMS - PAN SIGN 2.06 INTERIOR SHEET METAL GRAPHICS A. Sizes and shapes: As indicated on drawings (signage schedule and details) B. Locations: As indicated on drawings. C. .055"" metal sheet with laminate backer, sizes and shapes as indicated on drawings (signage schedule and details), image to be reverse cut out of sheet. D. Mounting: ?Projected Spacer Mounting? E. Owner/Architect to provide graphics.",,Installation,Installation in May - Can bill for sign production once complete,Survey needed,2025-08-20,2025-10-08,2026-05-08,2025-10-14,,,,,,,WK,WK,False,,,0.0,292.0,2026-04-23,J30283 HUTTON CORPORATION_WALL SIGN.pdf,In Process,True,,Routing Complete,done,done,,
J33049,ROLLING HILLS WILDLIFE ADVNT,DP,Moundridge,WK,"12 x 30 Wrap - Moundridge Furnish and install (1) 12' x 30' (13' x 31' bleed) vinyl wrap as part of a 36 month contract. (Upper board, South facing) Agreement to go into effect 9/2025",,Installation,,Survey needed,2025-08-25,2025-10-13,,2025-10-19,,,,INDEPENDENT'S,20213,RECEIVED,WK,WK,False,,0.0,0.0,287.0,,document - 2026-05-13T150957.326.pdf,In Process,True,,,,,,
J33068,ROLLING HILLS WILDLIFE ADVNT,DP,Chapman,WK,12 x 40 Wrap - Chapman Furnish and install (1) 12' x 40' wrap (13' x 41' with bleed) as part of a 36 month contract. (East facing board) Contract to go into effect 9/2025.,,Installation,,Survey needed,2025-08-26,2025-10-14,,2025-10-20,,,,INDEPENDENT'S,20214,RECEIVED,WK,WK,False,,0.0,0.0,286.0,,document - 2026-05-13T150844.665.pdf,In Process,True,,,,,,
J33069,ROLLING HILLS WILDLIFE ADVNT,DP,Ellsworth,WK,12 x 30 Wrap - Ellsworth Furnish and install (1) 12' x 30' wrap (13' x 31' with bleed) as part of a 36 month contract. (West facing board) Contract to go into effect 9/2025.,,Installation,,Survey needed,2025-08-26,2025-10-14,,2025-10-20,,,,INDEPENDENT'S,20222,RECEIVED,WK,WK,False,,0.0,0.0,286.0,,document - 2026-05-13T150557.872.pdf,In Process,True,,,,,,
J33070,ROLLING HILLS WILDLIFE ADVNT,DP,Russell,WK,12 x 40 Wrap - Russell Furnish and install (1) 12' x 40' wrap (13' x 41' with bleed) as part of a 36 month contract. (West facing board) Contract to go into effect 9/2025.,,Installation,,Survey needed,2025-08-26,2025-10-14,,2025-10-20,,,,INDEPENDENT'S,20215,RECEIVED,WK,WK,False,,0.0,0.0,286.0,,document - 2026-05-13T150438.165.pdf,In Process,True,,,,,,
J33047,ROLLING HILLS WILDLIFE ADVNT,DP,Concordia,WK,"12 x 24 Wrap - Concordia Furnish and install (1) 12' x 24' (13' x 25' bleed) vinyl wrap as part of a 36 month contract. (Upper board, North facing) Agreement to go into effect 9/2025",,Installation,,Survey needed,2025-08-27,2025-10-15,,2025-10-21,,,,INDEPENDENT'S,20212,RECEIVED,WK,WK,False,,0.0,0.0,285.0,,document - 2026-05-13T151153.919.pdf,In Process,True,,,,,,
J32860,EQUITY BANK,DW,"Kirksville, MO",NEK,Kirksville Monument Sign Fabricate and install 1 double face LED illuminated aluminum sign cabinet with routed push thru graphics. Sign cabinet to be painted black and have gold reveal. Sign cabinet to be installed on customer provided stone base. Steel pole structure and concrete foundation included.,,Installation,,Survey needed,2025-09-10,2025-10-29,2026-03-31,2025-11-04,,,,MIRATEC,18631,RECEIVED,WK,WK,False,19370.1,,0.0,271.0,2026-03-16,J32860 Equity Bank_Monument Sign.pdf,In Process,True,Outsourced,Routing Complete,done,done,done,
J33489,MIDWAY MOTORS SUPERCENTER,DP,Salina,WK,12' x 40' wrap_Salina Furnish and install (1) 12' x 40' vinyl wrap (13' x 41' with bleed) as part of a new 36 month renewal contract. (C) #73223 North facing I-135 South at MM 87.35.,,Installation,10/8 - waiting on artwork,Survey needed,2025-09-19,2025-11-07,,2025-11-13,,,,INDEPENDENT'S,19775,RECEIVED,WK,WK,False,,0.0,0.0,262.0,,,In Process,True,,,,,,
J29240,The Law Company,"TN,JL",Topeka,NEK,KDEM Operations & Training Center - Panel & Acrylic Sings Panel Signs Custom Cut Acrylic Sings,,Installation,replacements ordered,Survey needed,2025-10-22,2025-12-10,,2025-12-16,,,,GEMINI,19207 / 20149,ORDERED,NEK,NEK,False,,0.0,0.0,229.0,,J29240 The Law Company_KDEM OPERATIONS AND TRAINING PANELS.pdf,In Process,True,,,,,,
J29241,The Law Company,"TN,JL",Wichita,NEK,"KDEM Operations & Training Center - Dimensional Cast Letters and Plaques Bronze Cast Aluminum Letters 12"" Bronze Cast Aluminum Plaque",,Installation,,Survey needed,2025-10-22,2025-12-10,,2025-12-16,,,,GEMINI,18983 / 18984,RECEIVED,WK,WK,False,,0.0,0.0,229.0,,J29241 The Law Company_KDEM OPERATIONS AND AND TRAINING_letters and plaque.pdf,In Process,True,,,,,,
J29239,The Law Company,"TN,JL",Topeka,NEK,KDEM Operations & Training Center - ADA SIGNAGE DETAILS: SEE SCHEDULE ADN FE 301 QTY: Type A - 54 Type B - 10 Type C - 14 Type D - 4 Type E - 3 Type F - 7 Type G - 4 Type H - 8 Type J - 33 Type K - 1 Type M - 1 Type N - 3 Type O - 7,,Installation,,Survey needed,2025-10-22,2025-12-10,,2025-12-16,,,,vista systems,18985,RECEIVED,WK,WK,False,,0.0,0.0,229.0,,J29239 The Law Company_KDEM ADA signs.pdf,In Process,True,,,,,,
J32861,EQUITY BANK,DW,"Kirksville, MO",NEK,"Kirksville Interior Illuminated Logo Fabricate and install (1) 3""deep fabricated aluminum trimless face lit logo to be installed flush to interior wall. 1002 S Baltimore ST Kirksville, MO 65203",,Installation,March/April Install,Survey needed,2025-11-17,2026-01-05,,2026-01-11,,,,SIGN HOUSE,19457,RECEIVED,WK,WK,False,10148.8,0.0,0.0,203.0,,J32861 Equity Bank_Interior Logo.pdf,In Process,True,,,,,,
J32914,EQUITY BANK,DW,"Kirksville, MO",NEK,"Kirksville Teller Desk Sign Non-Illuminated Fabricate and install (1) 2""deep foam logo with black laminate and black edges. 1002 S Baltimore ST Kirksville, MO 65203",,Installation,March/April Install,Survey needed,2025-11-17,2026-01-05,,2026-01-11,,,,"GEMINI,GREGORY",19463 / 19497,RECEIVED,WK,WK,False,3734.97,,0.0,203.0,,J32914 Equity Bank_Interior Logo.pdf,In Process,True,Outsourced,,,,done,
J32862,EQUITY BANK,DW,"Kirksville, MO",NEK,"Kirksville East Building Elevation Fabricate and install (1) sets of combo lit LED illuminated channel letters and logo mounted to the East building elevation. Sign to have aluminum wire raceway behind parapet wall to hide wiring and power supplies. 1002 S Baltimore ST Kirksville, MO 65203",,Installation,March/April Install,Survey needed,2025-11-17,2026-01-05,,2026-01-11,,,,SIGN HOUSE,19458,RECEIVED,WK,WK,False,8980.0,0.0,0.0,203.0,,J32862 Equity Bank_East Building Signs.pdf,In Process,True,,,,,,
J32864,EQUITY BANK,DW,"Kirksville, MO",NEK,"Kirksville South Buidling Elevation Fabricate and install (1) sets of combo lit LED illuminated channel letters and logo mounted to the East building elevation. Sign to have aluminum wire raceway behind parapet wall to hide wiring and power supplies. 1002 S Baltimore ST Kirksville, MO 65203",,Installation,March/April Install,Survey needed,2025-11-17,2026-01-05,,2026-01-11,,,,SIGN HOUSE,19460,RECEIVED,WK,WK,False,8980.0,0.0,0.0,203.0,,J32864 Equity Bank_South Building Signs.pdf,In Process,True,,,,,,
J34367,EQUITY BANK,DW,"Kirksville, MO",NEK,"Kirksville Flag Mount Revision Fabricate and install 1 double face LED illuminated flag mount sign. Sign to read ATM. 1002 S Baltimore ST Kirksville, MO 65203",,Installation,March/April Install,Survey needed,2025-11-17,2026-01-05,,2026-01-11,,,,,,,WK,WK,False,8813.9,,0.0,203.0,,J34367 Equity Bank_Flag Mount Sign.pdf,In Process,True,Hutch,Routing Complete,done,done,done,
J32858,EQUITY BANK,DW,"Kirksville, MO",NEK,"Kirksville Inwall Surround Fabricate and install 1 painted aluminum pan sign surround to existing inwall ITM unit. 1002 S Baltimore ST Kirksville, MO 65203",,Installation,March/April Install,Survey needed,2025-11-17,2026-01-05,2026-04-10,2026-01-11,,,,,,,WK,WK,False,2164.81,,0.0,203.0,2026-03-26,J32858 Equity Bank_ITM Surround.pdf,In Process,True,"Hutch,Outsourced",Routing Complete,done,,done,done
J35253,CITY BEVERAGE,AS,Hutchinson,WK,NC replacement wrap NC original wrap was wrong size (too large). Furnish and install (1) 10’ 7”t x 24’ VO (11’ 7” t x 25’ w overall with bleed) wrap to replace wrap that is too large.,,Installation,,Survey needed,2025-12-18,2026-02-05,,2026-02-11,,,,INDEPENDENT'S,19211,RECEIVED,WK,WK,False,,0.0,0.0,172.0,,,In Process,True,,,,,,
J35454,Luminous Neon LLC,NH,Dodge City,WK,"4'x8' ACM sponsor panel Furnish and install (1) 4'x8' S/F N/I ACM ad panel with digitally-printed vinyl graphics/UV laminate. On the south grandstands, overlay the existing Duraply panel (currently advertising Luminous Neon) using painted screws.",,Installation,,Survey needed,2026-01-08,2026-02-26,,2026-03-04,,,,GREGORY,19318,RECEIVED,WK,WK,False,1190.49,,0.0,151.0,,J35454 LUMINOU NEON LLC.pdf,In Process,True,Outsourced,,,,done,
J34769,Faith Journey Church,QT,Olathe,NEK,FJ Building Sign 111725 Remove existing building sign and mount to the back wall of the building. Produce and install one (1) single sided internally illuminated building sign.,,Installation,,Survey needed,2026-01-14,2026-03-04,2026-05-22,2026-03-10,,,,MIRATEC,19965,RECEIVED,NEK,NEK,False,8732.0,,0.0,145.0,2026-05-07,J34769 Faith Journey_exterior building cabinet.pdf,In Process,True,Outsourced,,done,done,,
J34640,TAG TEAM PIZZA INC. - Domino's Pizza,VB,Topeka,NEK,"repair truck damage to Domino's Pizza/Baskin-Robbins pole sign with new cabinet At the joint Domino's & Baskin-Robbins pole sign, a Coca-Cola truck has hit and twisted the sign, but the faces are still intact: 1) survey existing sign for height/width of the cabinet, depth of the cabinet, retainers and T-bar information, plus overall height of sign 2) fabricate a new mill-finished aluminum cabinet, 9’5” x 6’4”, 8” deep with internal LED illumination, matching retainers & divider bar to reusing Baskin-Robbins and Domino’s existing pan faces 3) modify flag-mounting structure for installation, keeping the same overall height, and painting upper section to match mill-finished aluminum cabinet 4) remove & scrap existing sign, keep faces 5) install new cabinet and existing faces 6) take completion photos NOTE: Primary electrical will need to be disconnected by a licensed electrician prior to reinstallation and reconnected afterward.",,Installation,,Survey needed,2026-01-19,2026-03-09,2026-04-15,2026-03-15,,,,,,,WK,NEK,False,9785.73,,0.0,140.0,2026-03-31,,In Process,True,,,done,done,,
J28930,Dondlinger & Sons Construction -Children's Mercy,CC,Wichita,WK,"One set of internally illuminated channel letters Furnish and install one set of internally illuminated, channel letters and logo. When placing pattern on wall, make sure seam in building panels runs in between logo and copy.",,Installation,,Survey needed,2026-01-19,2026-03-09,,2026-03-15,,,,SIGN HOUSE,19412,RECEIVED,WK,WK,False,10182.1,0.0,0.0,140.0,,J28930 Children's Mercy Hospital_Wichita channel letters.pdf,In Process,True,,,,,,
J35716,GREATER WICHITA YMCA,DW,Hutchinson,WK,"Hutchinson Channel Logo Revised Fabricate and install (1) 3"" deep face lit channel logo with blue returns, blue trim cap, blue perforated vinyl, and self-contained power supplies and two sets of 1/2"" thick painted aluminum flat cut out letters reading ""the"" and ""YMCA"".",,Installation,May 4th install,Survey needed,2026-01-29,2026-03-19,2026-04-30,2026-03-25,,,,"GEMINI,MIRATEC",19573 / 19610,RECEIVED,WK,WK,False,5789.2,,0.0,130.0,2026-04-15,J35716 YMCA_Building Sign.pdf,In Process,True,Outsourced,Routing Complete,done,done,done,
J34938,DCS SERVICES,DP,Uniontown,NEK,"Uniontown 112625-Greenbush Produce and install one (1) set of 1/4"" flat cut out metal lettering and logo mounted to a 1"" deep metal pan background with radius corners Logo: Painted black with applied graphics - 7125-10 white, 7125-14 bright orange and black. Letters: Painted white. Backer pan: Painted Black *No sign permit required per City.",,Installation,FCO logo has direct print graphics,Survey needed,2026-01-30,2026-03-20,,2026-03-26,,,,GEMINI,19572,RECEIVED,WK,WK,False,10219.0,,0.0,129.0,,J34938 Uniontown Pre-K_1.27.26.pdf,In Process,True,"Hutch,Outsourced",,done,,done,done
J33324,Greenbush - The Southeast Kansas Service Center,"QT,DP",Girard,NEK,Greenbush Community Building 090925 Remove and dispose of existing building signage. Produce and install one non illuminated wall mounted building sign display.,,Installation,FCO's ordered 3/25,Survey needed,2026-02-06,2026-03-27,2026-04-30,2026-04-02,,,,GEMINI,19591,RECEIVED,WK,NEK,False,6140.0,,0.0,122.0,2026-04-15,J33324r1 Greenbush Community Building_pan with FCOs.pdf,In Process,True,Outsourced,,done,done,,
J36001,Todd's Clothiers,QT,KCMO,NEK,Todds Clothiers KCMO survey Please survey the Todd's Clothiers location in the Crossroads. Please make sure to include: Photos and measurements for new front window graphics. Please photo and measure all storefront glass.,,Installation,,Survey needed,2026-02-06,2026-03-27,,2026-04-02,,,,,,,NEK,NEK,False,,0.0,0.0,122.0,,,In Process,True,,,,,,
J34682,Greenbush - The Southeast Kansas Service Center,"QT,DP",Girard,NEK,Greenbush Building Directional 111225 Remove and dispose of existing building mounted directional sign. Produce and install one (1) non illuminated painted building mounted directional sign with reflective vinyl graphics.,,Installation,,Survey needed,2026-02-06,2026-03-27,,2026-04-02,,,,,,,NEK,NEK,False,1948.0,0.0,0.0,122.0,,J34682 Greenbush_main campus building directional.pdf,In Process,True,Lawrence,,,,,
J34681,Greenbush - The Southeast Kansas Service Center,"QT,DP",Girard,NEK,Greenbush DeMoss Entrance Sign Produce and install one (1) single sided non illuminated sign with flat cut out lettering with Greenbush name and logo and Dave DeMoss Center Main Entrance,,Installation,,Survey needed,2026-02-06,2026-03-27,,2026-04-02,,,,GEMINI,19521,RECEIVED,NEK,NEK,False,5997.0,,0.0,122.0,,J34681r1 Greenbush DeMoss Building_pan with FCOs.pdf,In Process,True,Outsourced,,done,done,,
J32492,Fisch Haus,CC,Wichita,WK,"Receive and install a new 12' 7.5"" (H) x 38' (W), digitally printed vinyl wrap onto the existing wall mounted billboard structure on the south side of building. Artwork to be provided by customer. Permit, if required, will be invoiced as a separate line item on final billing. Material and installation to have a one year warranty against any defects. NOTE: Natural fading will occur over time, but graphic should look good for an industry standard of three years. Fading will be kept to a minimum if red colors can be avoided in the design.",,Installation,,Survey needed,2026-02-19,2026-04-09,,2026-04-15,,,,,,RECEIVED,WK,WK,False,4263.44,0.0,0.0,109.0,,Fisch Haus Current Vinyl Wrap.jpg,In Process,True,,,,,,
J36106,Belfor Property Restoration,AS,Hutchinson,WK,"New Bay's letters Remove remaining ""ay's"". Furnish and install (1) new set of 12"" tall, formed Plastic letters reading ""Bay's"". Letters to be Brush Script font and painted 873 Metallic Gold. Letters to go in same location the previous letters were.",,Installation,,Survey needed,2026-02-23,2026-04-13,,2026-04-19,,,,GEMINI,19670,RECEIVED,WK,WK,False,973.84,0.0,0.0,105.0,,J36106 Bays Jewelery_formed plastic letters.pdf,In Process,True,,,,,,
J35775,Dondlinger & Sons Construction,DW,Wichita,WK,"Goodwill West Central Donations North Elevation Fabricate and install 1 set of face lit LED illuminated channel letters to read ""Donations"" with white trim caps, returns, to match Reflex Blue and white faces and digitally printed perforated vinyl to match Reflex Blue. All signage to be flush mounted to building.",,Installation,,Survey needed,2026-02-26,2026-04-16,,2026-04-22,,,,SIGN HOUSE,19678,RECEIVED,WK,WK,False,6319.83,0.0,0.0,102.0,,J35775 Goodwill_Channel Letters.pdf,Hold,True,,,,,,
J35673,TAG TEAM PIZZA INC. - Domino's,VB,Topeka,NEK,"Domino's 29th & California replacement pole sign faces At Domino's 29th & California in Topeka: 1) the pole sign faces are badly faded 2) provide two new 84.5"" x 71.5"" white acrylic pan-formed white faces with 2.5"" flanges and 1.5"" pan, and Domino’s Pizza logo on the top of the pan with 3630-33 red and 3632-127 Intense blue vinyl graphics 3) install to fit the new cabinet when built 4) take completion photos Drawing VB-J35675",,Installation,,Survey needed,2026-03-08,2026-04-26,,2026-05-02,,,,SIGN FACES,19712,RECEIVED,NEK,NEK,False,4425.0,0.0,0.0,92.0,,J35673 Domino's Pizza_Sign Faces.pdf,In Process,True,,,,,,
J35764,NORTH AMERICAN SAVINGS BANK,SP,KCMO,NEK,"REPLACE 3 EXISTING DAMAGED DIRECTIONAL SIGNS WITH NEW REPLACE 3 EXISTING DIRECTIONAL SIGNS WITH NEW - Produce/install three (3) new non illuminated single faced directional signs to replace 3 damaged signs in the same locations which will be removed/disposed of. 2 signs are in sod/dirt locations and 1 is in a rock landscaped area. Sign faces, frames and posts to be all painted NASB dark blue PMS 288C with white reflective vinyl copy only on 1 side (backside is just painted) with same copy for replacement signs as was on existing signs which are: 2 as ""DRIVE-UP ATM"" and 1 as ""DO NOT ENTER"". Sign sizings are: DRIVE-UP ATM 2 signs are sized 12"" x 36"" for its faces and 3' tall overall with 2"" x 2"" frames, and DO NOT ENTER 1 sign sized 30"" x 30"" for its faces and 4'6"" tall overall with 2"" x 2"" frame.",,Installation,,Survey needed,2026-03-10,2026-04-28,,2026-05-04,,,,,,,WK,NEK,False,5767.0,,0.0,90.0,,J35764 NASB_directionals.pdf,In Process,True,,,done,,done,done
