lni_name,lni_current_status,lni_process,lni_priority,lni_region,lni_sales,lni_location,lni_description,lni_job_notes,lni_ready_for_install,lni_order_date,lni_mfg_target_modified,lni_scheduled_install,lni_date_installed,lni_date_to_admin,lni_vendor,lni_po_number,lni_vendor_status,lni_mfg_region,lni_install_region,lni_value,lni_ul_sign,lni_graphics,lni_routing_type,lni_metal,lni_assembly,lni_plex_application,lni_vinyl_prod
J36904 / Weddle & Sons Roofing of Salina,Installation,In Process,,WK,DP,Salina,Vinyl wrap 10 x 30 (C) #378 Furnish and install (1) 10 x 30 vinyl wrap for roadsign (11' x 31' with bleed). Wrap is provided as part of new 3 year contract. Contract begins on 4/1/26.  Board is South facing on righthand side of the road.,,Survey needed,2026-04-02,2026-05-21,,,,INDEPENDENT'S,19939,RECEIVED,WK,WK,,No,,,,,,
J32429 / CITY OF ANDOVER,Installation,In Process,,WK,"VB,CC",Andover,"Capitol Federal Amphitheater update monument sign At Capitol Federal Amphitheater in Andover: 1) survey monument sign for accurate curvature on its back side 2) remove & scrap existing Capitol Federal Amphitheater logo on monument sign 3) relocate the power by Evergy letters to lower right   4) provide new internally LED-illuminated channel letters for Capitol Federal Amphitheater® with 21” capital letters for Capitol Federal and 13¾” capital letter in Amphitheater  5) install on curved wall faced with stone, backed with EFIS, including raceways behind the wall painted to match the EFIS color 6) take completion photos Drawing VB-J32429",,Survey needed,2026-04-03,2026-05-22,,,,steel art,19907,RECEIVED,WK,WK,22755,No,,Routing Complete,X,,,
J36799 / FOLEY EQUIPMENT,Installation,In Process,,NEK,QT,Topeka,"Foley Topeka Damaged monument 031826 Monument sign faces were damaged for both sides of double sided monument. Customer has temporarily fixed and reattached the faces for now. Lumineo to provide labor, equipment and necessary materials to produce and install replacement non illuminated metal sign faces with custom applied vinyl graphics for both sides of double sided monument sign that was damaged. Survey needed to confirm the extent of the damage and confirm build sizes before production.",,Survey needed,2026-04-03,2026-05-22,,,,,,,NEK,NEK,3782,No,Lawrence,,,,,
J36253 / First Security Bank,Installation,In Process,,WK,DW,Norwich,Norwich Corner Sign Option 1 Remove and discard existing sign cabinet. Fabricate and install 1 new LED illuminated routed push thru cabinet.,,Survey needed,2026-04-03,2026-05-28,,,,GREGORY,20024,RECEIVED,WK,WK,10414.96,No,"Hutch,Outsourced",Routing Complete,X,/,/,
J35500 / MT DOBSKI - McDonald's,Installation,In Process,,NEK,VB,DeSoto,"McDonald's DeSoto replace parking lot lights with LEDs At McDonald's DeSoto, there are several parking lot lights out: 1) check in/out with manager on duty  2) survey parking lot light poles to confirm fixture info, height and dimensions 3) remove the old shoebox fixtures, believed to hours 250 watt metal halide bulbs & ballasts 4) provide and install twelve (12) 400 watt equivalent LED fixtures to replace 250 watt MH shoebox fixtures 5) the pole directly across from the second drive-thru window appeared to have an issue at the top and was disconnected, repair 6) take completion photos",,Survey needed,2026-04-06,2026-05-25,,,,,,,NEK,NEK,9165,No,,,,,,
J37145 / Rockstar Investments LLC,Installation,In Process,,NEK,LNI,Lawrence,Removal Removal of two cloud cabinets on front elevation. This is a T&M ticket with a DNE $550.,,Survey needed,2026-04-06,2026-05-25,,,,,,,NEK,NEK,,No,,,,,,
J36219 / First Security Bank,Installation,In Process,,WK,DW,Wichita,Wichita Building Sign Remove and discard existing channel letters. Fabricate and install 1 new set of face lit trim cap channel letter flush mounted to building.,,Survey needed,2026-04-07,2026-05-26,,,,AI Innovations,20000,RECEIVED,WK,WK,9773.6,No,,,,,,
J36817 / CAPITOL FEDERAL,Installation,In Process,,NEK,VB,Overland Park,"Capitol Federal 13500 Metcalf replace directional signs At Capitol Federal’s 13500 Metcalf branch, all three directional signs have peeling vinyl: 1) coordinate in advance with the Bank 2) remove & scrap existing directional signs 3) create three new double-faced aluminum directional signs, with painted bronzetone framework, painted 20” x 24"" PMS 300 blue background and reflective white vinyl copy 4) install to an overall height of 48"" 5) take completion photos Drawing VB-J36817",,Survey needed,2026-04-09,2026-05-28,,,,,,,NEK,NEK,3850,No,Lawrence,,X,X,X,
J33828 / Children's Mercy Hospital,Installation,In Process,,NEK,SP,KCMO,"2 S/F NEW ALUMINUM PAN SIGNS (FLUSH MOUNT) TO REPLACE 2 EXISTING HANGING SIGNS 2 NEW GARAGE PAN SIGNS TO REPLACE 1 EXISTING HANGING GARAGE SIGN (yellow level ""Elevator ->/ <-"") - Remove/dispose one (1) existing double faced hanging garage sign for yellow level reading ""Elevator ->/ <-"" and produce/install 2 single faced all aluminum fabricated pan signs with dimensional aspects (per profile view) with copy as current signs had ""Elevator ->/ <-"".  New signs to be painted SW 7039 Dark Brown for panels and painted to match 7125-25 Sunflower Gold (or PMS 124C yellow) for squares with white reflective vinyl copy 680-10 and overall sized 11"" tall x 78"" long x 4 1/4"" deep. Signs flush mounted onto concrete garage header area.",,Survey needed,2026-04-10,2026-06-04,,,,,,,NEK,NEK,3934,No,Lawrence,,X,X,,
J32903 / MINNEOLA HEALTHCARE,Installation,In Process,,WK,NH,Minneola,"OPT A -utilize 2 cabinets @ LTC site OPTION A: Furnish a new steel plate/pole stub structure (painted black). Remove and dispose of the existing wooden post & panel sign. Set the new steel poles in concrete (excavation through dirt) including a conduit sweep. On the return trip, remove the customer's 2' 9""h x 5' 6""w x 12""d arched cabinet, and  20""h x 8' 3""w x 20""d base cabinet from storage, and bolt them to the plate. Furnish and install (1) new flat plex face with translucent digitally-printed graphics, to fit the bottom cabinet. *SIGN WILL SIT PARALLEL TO THE ROAD. (The top logo cabinet faces will remain as is. We'll peel the black ""FAMILY CARE CLINIC"" vinyl from the bottom face, to blank out the bottom piece that faces the building. *THE CUSTOMER IS RESPONSIBLE FOR RUNNING POWER TO THE SIGN LOCATION.",,Survey needed,2026-04-13,2026-06-04,,,,MIRATEC,20020,RECEIVED,WK,WK,5015.53,No,Outsourced,,X,,X,
J37225 / NKC Health,Installation,In Process,,NEK,QT,NKCMO,"NKC-018 Pylon Signs NKC-018_NKCH Main Hospital Campus 2800 Clay Edwards Dr North Kansas City, MO 64115 Produce and install new cabinets with flex faces on both sides of each pylon.  Sign# 032 and 161 Sign #'s 024, 026, 099, 113",,Survey needed,2026-04-13,2026-06-04,,,,,,,NEK,NEK,20719.21,No,,,,,,
J36445 / NKC Health,Installation,In Process,,NEK,QT,NKCMO,"NKC-018 Various i/i wayfinding NKC-018_NKCH Main Hospital Campus 2800 Clay Edwards Dr North Kansas City, MO 64115 Various internally illuminated wayfinding/directional signs.  Retrofit existing sign cabinets with new translucent sign faces for internally illuminated wayfinding/directional signs Sign #'s 023, 031, 040, 049, 079, 093, 105, 118, 142, 144,165",,Survey needed,2026-04-13,2026-06-04,,,,,,,NEK,NEK,72241.37,No,,,X,X,,
J37289 / EQUITY BANK,Installation,In Process,,NEK,DW,"LaPlata, MO",LaPlata ATM Paint touch up Touch up paint on freestanding ATM retainers.,sent SO to JF 4/21/26,Survey needed,2026-04-17,2026-06-05,,,,,,,NEK,NEK,,No,,,,,,
J31577 / Snodgrass & Sons Construction,Installation,In Process,,WK,TC,Wichita,"Central Christian Academy - Exterior Signage Lumineo Signs to furnish and install the following exterior signage at Central Christian Academy, per design TN-J31577.  One (1) 6'-11"" (H) x 7'-0"" (W) x 6"" (D) S/F, I/I, Polycarb Cabinet w/ Digital Print One (1) set of 1'-0"" (H) x 3"" (D) Halo-lit RCLs, white faces & black returns, reading ""HIGH SCHOOL"" One (1) 6'-0"" (Dia.) S/F, I/I Circle Cabinet with Plex Faces and applied Digital Print graphics One (1) set of 1'-6"" (H) x 1/2"" (D) Acrylic FCOs, painted Black  NOTE: All required sign permit(s) to be sourced by Lumineo Signs and billed at cost in addition to final invoice.",FCO's here,Survey needed,2026-04-20,2026-06-08,,,,"SIGN HOUSE,GEMINI",20038 / 20039,RECEIVED,WK,WK,24632.39,No,,,,,,
J35360 / CITY OF GODDARD,Installation,In Process,,WK,TC,Goddard,"South Elevation Channel Letters - City of Goddard Furnish and install one (1) set of 3"" (D) internally illuminated, reverse channel letters and reverse channel logo, back-lit. All sign components to be fabricated in brushed aluminum. ""City of"" copy on South Elevation sign to be non-illuminated 1/2"" (D) Flat Cut Out letters (FCOs), with a brushed aluminum finish. Reference design TC-J35360.  NOTE: Customer/GC to ensure proper electrical service is provided to the site of the sign prior to installation.",Oct. install,Survey needed,2026-04-21,2026-06-09,,,,AI Innovations,20072,RECEIVED,WK,WK,9461.1,No,,,,,,
J35359 / CITY OF GODDARD,Installation,In Process,,WK,TC,Goddard,"West Elevation Channel Letters - City of Goddard Furnish and install one (1) set of 3"" (D) internally illuminated, reverse channel letters and reverse channel logo, back-lit. All sign components to be brushed aluminum. Reference design TC-J35359.  NOTE: Customer/GC to ensure proper electrical service is provided to the site of the sign prior to installation.",Oct. install,Survey needed,2026-04-21,2026-06-09,,,,AI Innovations,20075,RECEIVED,WK,WK,11388.9,No,,,,,,
J36696 / FOLEY EQUIPMENT  (Metal Copy),Installation,In Process,,NEK,QT,Topeka,"Foley Topeka CCC Signs 031126 Provide labor, equipment and necessary materials to fabricate and modify existing damaged two (2) non illuminated yard signs to be corrected and repaired to working order.",,Survey needed,2026-03-13,2026-04-28,,,,,,,WK,NEK,,No,Lawrence,,X,,,
J37354 / Conrade Insurance,Installation,In Process,,WK,DP,Wichita,"Additional Flush Mounted Metal Laminate on Foam Letters Lumineo to remove ""INSURANCE"" copy, customer to patch and paint before install. Furnish and install (1) set of 1"" deep flush mounted metal laminate on foam letters. Foam to be black with brushed aluminum metal laminate. New copy to be ""GROUP"". Install ""INSURANCE GROUP"" letters centered underneath ""CONRADE"". **Will need a pattern of new layout, showing new placement of both previous and new letters.",,Survey needed,2026-04-27,2026-06-15,,,,GEMINI,20114,RECEIVED,WK,WK,1558.73,No,,,,,,
"J37158 / TYREE AG, INC",Installation,In Process,,WK,NH,"Laverne, OK","flat alum panel + install of FCO 3pc wall logo Furnish & install (1) 4'x8' flat aluminum sign panel (white enamel finish, with digitally-printed vinyl graphics/UV laminate on both sides). Fasten to the 1.25"" angle iron mounting flange using new hardware. . . While on site, install the customer's 3-piece flat aluminum cutout on their exterior office wall. Mount on the ribbed metal siding (12"" centers), and take some PVC spacers cut to 1.25"" lengths, to fasten areas that don't hit a rib. *No pattern. Just need to level the coy, and align the swoosh/plane as close as possible.",,Survey needed,2026-04-27,2026-06-02,,,,GREGORY,20117,RECEIVED,WK,WK,3449.9,No,Outsourced,,,,X,
J37437 / COLLEEN & CO,Installation,In Process,,NEK,LNI,Lawrence,Install pan sign Install pan sign at customers location brackets already installed on wall,,Survey needed,2026-04-27,2026-06-15,,,,,,,NEK,NEK,,No,,,,,,
J37339 / CONV/VISITORS BUREAU LIBERAL,Installation,In Process,,WK,NH,Liberal,"digital prints on Gateway bench Furnish (2) 3' 2""w x 20' 4"" continuous digitally-printed vinyl graphics (with UV laminate) to apply to the outer & inner surfaces of the blank circular shade of the ""Gateway"" bend. Apply in the field, after the unit has been installed. Cut around the bench seat/brackets as needed.",Tanner install,Survey needed,2026-04-28,2026-06-16,,,,GREGORY,20117,RECEIVED,WK,WK,3349.5,No,,,,,,
J37347 / WAM CAPITAL,Installation,In Process,,WK,CC,Wichita,"Remove existing formed plastic address numerals. Furnish new pan with FCO numerals for 8909 E 35th Remove the formed plastic address numerals from the north side of the 8909 building. Fabricate and install a new 5' (H) x 9' (W) x 2"" (D), aluminum pan sign with routed numerals attached. Install on the upper building fascia, at the west end of building's north elevation. Background pan to be sanded, primed, and painted silver. Routed aluminum numerals sanded, primed, and painted PMS 424C. Reference design CC-J37347. Center up and down in upper fascia area and center left and right between downspouts. This is on the north side of building. Customer wants to hang new sign on the east end of building instead of west end, as rendering shows. See attached.",,Survey needed,2026-04-29,2026-06-17,,,,GEMINI,20116,RECEIVED,WK,WK,7401.43,No,,,X,X,,
J37471 / MEMORIAL ART COMPANY,Installation,In Process,,WK,AS,Great Bend,BT19E Wrap 8 x 16 Furnish and install (1) new wrap measuring 9' x 17' Overall (VO 8 x 16) for new contract on BT19E.,,Survey needed,2026-04-29,2026-06-17,,,,INDEPENDENT'S,20121,RECEIVED,WK,WK,,No,,,,,,
J37469 / MEMORIAL ART COMPANY,Installation,In Process,,WK,AS,McPherson,MP11W New wrap Furnish and install (1) new wrap measuring 10' x 20' VO (with bleed 11' x 21') for new 36 month contract.  Contract to go into effect on 6/1/26.,,Survey needed,2026-04-29,2026-06-17,,,,INDEPENDENT'S,20121,RECEIVED,WK,WK,,No,,,,,,
"J30131 / Stone Creek Station (GC Investments, Inc)",Installation,In Process,,WK,NH,Garden City,"interior faux neon burger (Blue Sky) Furnish (1) interior faux neon ""burger"" sign, consisting of a routed flat acrylic background (3/16"" thick, black) with 4000K white LED ""faux neon"" tubing on the face side, with wire leads on the backside. (setup for remote power supplies. **Nathan has already dropped off a power supply box for the electrician to inset into the wall, prior to tiling. Power will be inside). Mount the acrylic backer on the tiled wall, using aluminum spacers & decorative caps (spaced 1"" away from the wall). Mount power supplies in the inset box, and terminate leads. (Acrylic backer will overlay our box lid).",,Survey needed,2026-04-30,2026-06-18,,,,zlight,20122,RECEIVED,WK,WK,3861.87,No,,,,,,
"J37083 / Stone Creek Station (GC Investments, Inc)",Installation,In Process,,WK,NH,Garden City,"FCO acrylic logo (interior BSTX) INTERIOR LOGO: Furnish and install (1) set of non-illuminated flat-cut-out acrylic letters/star. (#5687 white, 3/8"" thick, flush-mounted individually using double-stick tape, over ceramic tile).",,Survey needed,2026-04-30,2026-06-18,,,,GEMINI,20123,RECEIVED,WK,WK,1469.09,No,,,,,,
J35354 / Gene's Heartland Foods,Installation,In Process,,NEK,JL,Eudora,"LED Retrofit for Existing Pylon Retrofit existing sign with LED lighting.  Retrofit to encompass tenant face area and Gene's main ID at top of structure.  Note, No LED required for reader board as it will be replaced with new 3' x 6' EMC located directly under Gene's Main ID.  Tenant panel to be moved to bottom of structure.  (EMC on separate ticket)",,Survey needed,2026-04-30,2026-06-18,,,,,,,NEK,NEK,3033,No,,,,,,
J36580 / DODGE CITY USD #443,Installation,In Process,,WK,NH,Dodge City,"DIRECTIONAL SIGN: Furnish and install (1) 2' 6""h x 5'w double-face, non-illuminated aluminum post & panel sign (PMS 661 blue enamel finish, 4""x4"" aluminum posts, vinyl graphics). Hand-dig holes & set the posts in Sackcrete to grade. (4' 6"" OAH).",,Survey needed,2026-05-01,2026-06-04,,,,,,,WK,WK,3503.19,No,Hutch,,X,,X,X
J37560 / American Family Insurance -Daisy Padilla,Installation,In Process,,WK,NH,Liberal,"Replace all with new 4x8 blank Duraply (from DC stock). Dispose of the old panels. Also, replace the old hollow grip rod with solid fiberglass rod. Reinstall the AmFam wrap. . . Place a FOR LEASE banner on the top space (currently advertising Keating Tractor).",,Survey needed,2026-05-01,2026-06-19,,,,,,,WK,WK,,No,,,,,,
J37549 / McDonald's #4164,Installation,In Process,,NEK,VB,Lawrence,"McDonald's #4164 FIFA Word Cup ""stuck"" soccer ball promotion",,Survey needed,2026-05-01,2026-06-19,,,,,,,NEK,NEK,,No,,,,,,
J37550 / McDonald's #1511,Installation,In Process,,NEK,VB,Lawrence,"McDonald's #1511 FIFA World Cup ""stuck"" soccer ball promotion T&M  At McDonald’s #1511 as a host City for the FIFA World Cup: 1) approximately June 1, install customer-provided 23” diameter inflatable PVC soccer ball, with included tethers and air pump, to appear “stuck” with logo facing the street 2) take photos 3) after the World Cup, remove the soccer ball, seal any holes where tethers were attached 4) take completion photos 5) return to Patrick Manning at Dobski & Associates’ office",,Survey needed,2026-05-01,2026-06-19,,,,,,,NEK,NEK,,No,,,,,,
J37222 / IDEATEK,Installation,In Process,,WK,TC,Elkhart,"Furnish and install one (1) 4'-0"" (H) x 8'-0"" (W) ACM sign, with radius corners and direct digital print. To install in place of previous Epic Touch sign. Reference design TC-J37222.  NOTE: Any required sign permit(s) to be sourced by Lumineo Signs, and billed at cost in addition to final invoice.",,Survey needed,2026-05-05,2026-06-23,,,,GREGORY,20171,RECEIVED,WK,WK,1351.59,No,,,,,,
J36336 / First Presbyterian Church,Installation,In Process,,WK,TC,Derby,"Furnish and install one (1) set of 1/2"" (D) FCOs, painted PMS 288C, reading ""FIRST PRESBYTERIAN CHURCH"", installed flush mount to building in one line of copy. Reference design TC-J36336.  NOTE: Any required sign permits to be sourced by Lumineo Signs and billed at cost in addition to final invoice.",,Survey needed,2026-05-06,2026-06-24,,,,GEMINI,20189,RECEIVED,WK,WK,5058.08,No,,,,,,
J35800 / First Presbyterian Church,Installation,In Process,,WK,TC,Derby,"Remove existing FCOs from building. Furnish and install one (1) set of 1/2"" (D) FCOs, painted white, installed flush mount to building in same location as original set. Reference design TC-J35800.  NOTE: Any required sign permits to be sourced by Lumineo Signs and billed at cost in addition to final invoice.",,Survey needed,2026-05-06,2026-06-24,,,,GEMINI,20188,RECEIVED,WK,WK,3686.04,No,,,,,,
J37573 / FIDELITY BANK,Installation,In Process,,WK,CC,Wichita,"Furnish and install new trim capped faces for the set of channel letters on the front elevation of the Twin Lakes branch building. New faces to be white acrylic, decorated with translucent vinyl.",,Survey needed,2026-05-06,2026-06-24,,,,SIGN HOUSE,20176,RECEIVED,WK,WK,2779.37,No,,,,,,
J33723 / SALINA PUBLIC LIBRARY,Installation,In Process,RED DATE,WK,DP,Salina,"Furnish and install flat cut out acrylic logo element and ""SALINA PUBLIC LIBRARY"" copy. Sized to fit space shown in drawings.",,Survey needed,2026-05-07,2026-06-25,,,,GEMINI,20165,RECEIVED,WK,WK,2287.44,No,,,,,,
J37639 / Genesh Inc./Burger King,Installation,In Process,,WK,NH,Dodge City,"Remove and dispose of the damaged drive-thru clearance bar structure. Uncrate the replacement structure (on site, inside the dumpster corral). Install the new structure on the existing j-bolts.",,Survey needed,2026-05-07,2026-06-25,,,,,,,WK,WK,,No,,,,,,
"J36321 / NATIONAL BEEF PACKING CO.,LLC",Installation,In Process,,WK,NH,Dodge City,"Furnish and install (1) replacement 6-piece digitally-printed vinyl banner (with UV laminate, and doubled vertical Velcro lines sewn into the seams, with a grommetted underlay extension. . . Same creative as original sketch NH-22768-1). Remove and dispose of the existing 6-piece faded banner. Install the new banner in the existing BannerGrip frame (9' 6""h x 270'w overall), utilizing the existing good clips. *Includes changing out worn clips as needed, up to an allotment of (100) clips. *INCLUDES (2) SCISSOR LIFT RENTALS.",shipping to Dodge,Survey needed,2026-05-08,2026-06-26,,,,INDEPENDENT'S,20170,RECEIVED,WK,WK,17255.77,No,,,,,,
J37200 / CALVARY BAPTIST CHURCH (Lenexa),Installation,In Process,,NEK,SP,Lenexa,"RETROFIT EXISTING DOUBLE FACED MONUMENT TO WHITE LED'S - Retrofit the existing double faced backed with acrylic routed aluminum monument cabinet that has presently fluorescent lamps and convert it to white LED's with power supplies.  Sign cabinet is sized 41 1/2"" tall x 8' long x 18"" deep for main cabinet and the round logo icon cabinet is sized 18"" diameter x 28 1/2"" deep. Included is to resecure (silicone down) loose acrylic back up plex and to wipe down the aluminum monument cabinet when changing out lighting.",,Survey needed,2026-05-08,2026-06-26,,,,,,,NEK,NEK,1807,No,,,,,,
J36388 / United Way of Dodge City,Installation,In Process,,WK,NH,Dodge City,"Furnish (1) set of digitally-printed, contour-cut UW vinyl logo/blue copy & ""211"" graphics, to apply to the second window (to the north). Also, furnish a 2nd ""211"" word bubble, to apply to the south window that already has the UW logo/blue copy. Nathan to install.",,Survey needed,2026-05-11,2026-06-29,,,,GREGORY,20241,RECEIVED,WK,WK,253.75,No,,,,,,
J36364 / Satanta District Hospital,Installation,In Process,,WK,NH,Santana,"HAIL-DAMAGE REPAIRS ON MONUMENT SIGN: Furnish (39) plastic louvers to replace (4) louvers on the south side of the 10mm LED display, and (ALL 35) louvers on the north side. Swap out and dispose of the damaged louvers. Also, furnish (2) modules to replace the ones with stuck pixels. (One on the north, one on the south).",shipping to Dodge. Return screws for credit.,Survey needed,2026-05-11,2026-06-29,,,,WATCHFIRE,20242,RECEIVED,WK,WK,5348.4,No,,,,,,
J36827 / First Call For Help,Installation,In Process,,WK,AS,Hutchinson,"Furnish and install (1) 5'x 10' non-illuminated  frame system sign with digitally printed flex face, installed on north elevation to the left of Food bank sign. Customer to provide tax exempt certificate.",,Survey needed,2026-05-11,2026-06-29,,,,"Alpina Mfg.,INDEPENDENT'S",20190 /20263,RECEIVED,WK,WK,2358.94,No,,,,,,
J37707 / BILLBOARD BUSINESS LLC,Installation,In Process,,WK,LNI,Russell,Repair board damaged by car accident,,Survey needed,2026-05-12,2026-06-30,,,,,,,WK,WK,6522.88,No,,,,,,
J36972 / ROLLING HILLS WILDLIFE ADVNT,Installation,In Process,,WK,DP,Salina,Furnish and install (1) 12' x 40' wrap (13' x 41' with bleed) on a non-Lumineo board.  (South facing board).,,Survey needed,2026-05-12,2026-06-30,,,,INDEPENDENT'S,20211,RECEIVED,WK,WK,1894.9,No,,,,,,
J31399 / Ford County Historical Society,Installation,In Process,,WK,NH,Dodge City,"Furnish (2) 17""x88"" single-face, non-illuminated aluminum composite material panels (black enamel finish, 7725-10 white vinyl copy). Overlay the existing under-canopy sign, using painted fasteners.",,Survey needed,2026-05-14,2026-06-04,,,,,,,WK,WK,659.68,No,Hutch,,,,X,X
J37694 / Travelodge,Installation,In Process,,WK,NH,Dodge City,"Furnish and install (2) digitally-printed flex faces, with UV laminate, to fit the existing 11' 1/2""hx10'w double-face, internally-illuminated pylon ID cabinet. Remove and dispose of the existing clip-mounted OYO faces. Stretch the new faces utilizing existing clips. *INCLUDES SURVEY TO CONFIRM SIZING/FRAME & RETAINER STYLE, ETC. *IF ANY ELECTRICAL SERVICE IS NEEDED, LUMINEO CAN PROVIDE ON AN ADDITIONAL ""TIME & MATERIALS"" BASIS. *Customer to provide production-ready logo & blue color specifications.",shipping to Dodge,,2026-05-18,2026-07-06,,,,MIRATEC,20260,RECEIVED,WK,WK,6916,No,,,,,,
J37830 / AZ US STORE MAINTENANCE (AUTOZONE PARTS INC),Installation,In Process,,WK,VB,Newton,The end of the long neon hash mark on the east side of the building is broken. Repair as needed,,,2026-05-19,2026-07-07,,,,,,,WK,WK,4120,No,,,,,,
J36287 / O'REILLY AUTO PARTS,Installation,In Process,,WK,VB,Newton,For O’Reilly Auto Parts #352 Newton: 1) receive & inspect one set of channel letters with 63” tall O’Reilly custom-shaped cabinets and 31” Auto Parts channel letters on raceways 2) check in/out with store manager,,,2026-05-19,2026-07-07,,,,,,,WK,WK,4120,No,,,,,,
J37874 / Barclay College,Installation,In Process,,WK,NH,Bucklin,Strap broke & dangling. Replace as needed.,,,2026-05-21,2026-07-09,,,,,,,WK,WK,,No,,,,,,
J37870 / SHELTER INSURANCE COMPANIES,Installation,In Process,,WK,NH,Dodge City,"The vertical grip rods have slipped out of the pocket, and are hanging down to the ground. Re-insert & secure them. Check over the rest of the structure to make sure all is okay.",,,2026-05-21,2026-07-09,,,,,,,WK,WK,,No,,,,,,
J37867 / GREAT PLAINS CHRISTIAN RADIO,Installation,In Process,,WK,NH,Dodge City,"Several cedar saplings are growing up under the roadsign structure, and out in front of the sign. Cut them off at grade and haul off (before they become obstructions/problems).",,,2026-05-21,2026-07-09,,,,,,,WK,WK,,No,,,,,,
J37926 / ROTO MIX,Installation,In Process,,WK,NH,Dodge City,Econo ACM -sheared to size,,Survey needed,2026-05-26,2026-07-14,,,,,,,WK,WK,,No,,,,,,
J37921 / HUTCHINSON PUBLIC SCHOOLS USD 308 ADMINISTRATION,Installation,In Process,,WK,DP,Hutchinson,Remove 4' x 8' EMC with ID Cabinet,,Survey needed,2026-05-26,2026-07-14,,,,,,,WK,WK,,No,,,,,,
J37913 / BILLBOARD BUSINESS LLC,Installation,In Process,,WK,LNI,Walton,Remove billboard structure,,Survey needed,2026-05-26,2026-07-14,,,,,,,WK,WK,,No,,,,,,
J37873 / Holcomb USD 363,Installation,In Process,,WK,NH,Dodge City,(10) blank white Econo ACM panels,,Survey needed,2026-05-26,2026-07-14,,,,,,,WK,WK,1532.18,No,,,,,,
J38038 / Hi-Plains Motel,Installation,Added,,WK,NH,Leoti,Furnish (2) sets of regular-cut 7725-10 white vinyl copy to fit the customer's door glass. Package & ship to customer. Customer to apply to first-surface glass.,,,2026-06-02,2026-07-21,,,,,,,WK,WK,198.57,No,,,,,,
J38037 / GTG Peterbilt,Installation,Added,,WK,CC,Wichita,Remove the flat panel body shop/TRP signs from the east side of building and dispose of off site.,,,2026-06-02,2026-07-21,,,,,,,WK,WK,,No,,,,,,
J37966 / GROVE CHIROPRACTIC & SPORTS INJURY,Installation,Added,,WK,NH,Dodge City,"Furnish and install (1) new regular-cut reading of ""7:00"" (7725-10 white). Peel the existing ""5:00"" vinyl on the ""FRIDAY"" line, and apply the 7:00 in its place. (All other copy remains as is).",,,2026-06-02,2026-07-21,,,,,,,WK,WK,136.28,No,,,,,,
J36188 / O'REILLY AUTO PARTS,Install - waiting on product,In Process,,NEK,VB,Emporia,"O'Reilly Auto Parts #203 Emporia repair pole sign storm damage with new flex-faces At O'Reilly Auto Parts #203, 2020 W 6th, Emporia: TAKE BEFORE & AFTER PHOTOS 1) receive & inspect new flex-faces & frame system and new LEDs for logo cabinet 2) check in/out with IVR system, 516-500-7776 or 516-200-3363, PIN #338224, WO # 341635070 3) install 10 new provided 96 LED sticks and their power supplies for the logo cabinet 4) install six new provided 96 LED sticks and their power supplies for the marquee 5) install two new provided flex-faces and extrusion kit 6) take completion photos and get customer sign-off",,Survey needed,2026-04-13,2026-06-01,,,,,,,NEK,NEK,5445,No,,,,,,
J35523 / Jones Sign - Gallagher,Install - waiting on product,In Process,,WK,CC,Wichita,"Receive and install new set of channel letters for Gallagher Furnish labor, materials, and equipment to receive/inspect/install one set of reverse channel letters and logo, per drawings provided by Jones Signs. Building manager doesn't want us set up overhead during regular business hours, so proposal is based on Saturday installation. Permit is not included in the proposal, so if issuing a PO, please add $73.00 for the permit fee, and $200 acquisition fee to this proposal amount. Work must be scheduled for a Saturday install.",Saturday,Survey needed,2026-04-13,2026-06-01,,,,,,RECEIVED,WK,WK,7496,No,,,,,,
J37974 / UNITED WIRELESS ARENA/CITY OF DODGE CITY,Install - waiting on product,Added,,WK,NH,Howell,R&I 10x24 wrap (Howell),,,2026-05-28,2026-07-16,,,,,,,WK,WK,,No,,,,,,
J37973 / UNITED WIRELESS ARENA/CITY OF DODGE CITY,Install - waiting on product,Added,,WK,NH,Dodge City,R&I 10x24 wrap (near Koch),,,2026-05-28,2026-07-16,,,,,,,WK,WK,,No,,,,,,
J37972 / BOOT HILL CASINO & RESORT,Install - waiting on product,Added,,WK,NH,Offerle,R&I wrap (Offerle),,,2026-05-28,2026-07-16,,,,,,,WK,WK,,No,,,,,,
J37971 / BOOT HILL CASINO & RESORT,Install - waiting on product,Added,,WK,NH,Ford,R&I wrap (Ford),,,2026-05-28,2026-07-16,,,,,,,WK,WK,,No,,,,,,
J37970 / BOOT HILL CASINO & RESORT,Install - waiting on product,Added,,WK,NH,Pratt,R&I wrap (Pratt),,,2026-05-28,2026-07-16,,,,,,,WK,WK,,No,,,,,,
J37872 / Dualite (DOLLAR GENERAL),Install - waiting on product,Added,,WK,NH,Liberal,"Receive & install (1) 5'x10' double-face, ACM-face sign cabinet, with top light brackets. Remove and dispose of the existing 6'x16' plate-mount cabinet. Bolt the new cabinet to the existing plate/pole. Hook up power.",,,2026-06-02,2026-07-21,,,,,,,WK,WK,3641,No,,,,,,
